AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;11;Andalucía;Europa;Italia;34515.0;222138.0;6.4
2019;11;Andalucía;Europa;Letonia;1526.0;16356.0;10.7
2019;11;Andalucía;Europa;Liechtenstein;299.0;3080.0;10.3
2019;11;Andalucía;Europa;Lituania;1332.0;11752.0;8.8
2019;11;Andalucía;Europa;Luxemburgo;4763.0;58243.0;12.2
2019;11;Andalucía;Europa;Macedonia del Norte;59.0;527.0;8.9
2019;11;Andalucía;Europa;Malta;819.0;4476.0;5.5
2019;11;Andalucía;Europa;Moldavia;149.0;1784.0;12.0
2019;11;Andalucía;Europa;Noruega;16112.0;180295.0;11.2
2019;11;Andalucía;Europa;Países Bajos;63630.0;507513.0;8.0
2019;11;Andalucía;Europa;Polonia;11840.0;107092.0;9.0
2019;11;Andalucía;Europa;Portugal;25570.0;173051.0;6.8
2019;11;Andalucía;Europa;República Checa;3510.0;24352.0;6.9
2019;11;Andalucía;Europa;República Eslovaca;966.0;6821.0;7.1
2019;11;Andalucía;Europa;Rumanía;5933.0;61304.0;10.3
2019;11;Andalucía;Europa;Rusia;6705.0;39688.0;5.9
2019;11;Andalucía;Europa;Serbia;270.0;1932.0;7.2
2019;11;Andalucía;Europa;Suecia;45349.0;553033.0;12.2
2019;11;Andalucía;Europa;Suiza;11849.0;89506.0;7.6
2019;11;Andalucía;Europa;Turquía;1857.0;7926.0;4.3
2019;11;Andalucía;Europa;Ucrania;2976.0;21648.0;7.3
2019;11;Andalucía;Oceanía;Australia;905.0;8045.0;8.9
2019;11;Andalucía;Oceanía;Nueva Zelanda;163.0;1625.0;10.0
2019;11;Andalucía;África;Argelia;1093.0;6915.0;6.3
2019;11;Andalucía;África;Costa de Marfil;53.0;399.0;7.5
2019;11;Andalucía;África;Egipto;332.0;1617.0;4.9
2019;11;Andalucía;África;Ghana;162.0;1763.0;10.9
